value,n,name,pct
2023-05-24 00:00:00.000,1,LPR,1.1128979305662981e-6
2023-11-09 00:00:00.000,1,LPR,1.1128979305662981e-6
2023-11-14 00:00:00.000,1,LPR,1.1128979305662981e-6
2024-01-08 00:00:00.000,1,LPR,1.1128979305662981e-6
2024-01-12 00:00:00.000,1,LPR,1.1128979305662981e-6
2024-08-14 00:00:00.000,1,LPR,1.1128979305662981e-6
2024-12-20 00:00:00.000,1,LPR,1.1128979305662981e-6
2025-01-10 00:00:00.000,1,LPR,1.1128979305662981e-6
2025-01-16 00:00:00.000,1,LPR,1.1128979305662981e-6
2025-03-28 00:00:00.000,1,LPR,1.1128979305662981e-6
2025-04-01 00:00:00.000,1,LPR,1.1128979305662981e-6
1,33380,NBR_OF_CHGS,0.5251648023158856
01,15669,NBR_OF_CHGS,0.24651909189597396
02,6058,NBR_OF_CHGS,0.0953100171488806
2,4906,NBR_OF_CHGS,0.07718569563096868
03,1812,NBR_OF_CHGS,0.02850804738754897
3,732,NBR_OF_CHGS,0.011516495964506537
04,464,NBR_OF_CHGS,0.007300073944714526
4,184,NBR_OF_CHGS,0.0028948569091109327
05,136,NBR_OF_CHGS,0.0021396768458646024
5,77,NBR_OF_CHGS,0.0012114346847909882
00,71,NBR_OF_CHGS,0.001117037176885197
06,40,NBR_OF_CHGS,6.293167193719419e-4
6,20,NBR_OF_CHGS,3.1465835968597094e-4
07,5,NBR_OF_CHGS,7.866458992149274e-5
7,2,NBR_OF_CHGS,3.14658359685971e-5
0,1,NBR_OF_CHGS,1.573291798429855e-5
08,1,NBR_OF_CHGS,1.573291798429855e-5
11,1,NBR_OF_CHGS,1.573291798429855e-5
12,1,NBR_OF_CHGS,1.573291798429855e-5
8,1,NBR_OF_CHGS,1.573291798429855e-5
C,1898506,OTHER_COMP,0.4925362253606192
T,847234,OTHER_COMP,0.21980095736183022
A,521518,OTHER_COMP,0.1352992864798001
F,370352,OTHER_COMP,0.09608174856163533
Y,95611,OTHER_COMP,0.02480470488002364
X,76067,OTHER_COMP,0.01973433481616925
P,17809,OTHER_COMP,0.004620252786900472
O,16502,OTHER_COMP,0.004281173086048155
M,4924,OTHER_COMP,0.0012774509923464497
K,3032,OTHER_COMP,7.866026419160104e-4
H,2994,OTHER_COMP,7.76744165533158e-4
R,1,OTHER_COMP,2.594335890224309e-7
W,1,OTHER_COMP,2.594335890224309e-7
S,27422,O_CLOCK_OPTION,0.35312145874111467
N,26179,O_CLOCK_OPTION,0.33711496857937573
T,14317,O_CLOCK_OPTION,0.18436437622334398
C,9734,O_CLOCK_OPTION,0.12534768723601525
c,2,O_CLOCK_OPTION,2.575461007520346e-5
R,1,O_CLOCK_OPTION,1.287730503760173e-5
s,1,O_CLOCK_OPTION,1.287730503760173e-5
-1,64122,OptionA,0.9985050920302719
4,82,OptionA,0.001276900557476097
2,9,OptionA,1.4014762216201066e-4
3,2,OptionA,3.1143916036002365e-5
5,2,OptionA,3.1143916036002365e-5
1,1,OptionA,1.5571958018001183e-5
D,34341,Other_dec1,0.8396537812660456
M,2524,Other_dec1,0.06171300031785618
W,1344,Other_dec1,0.03286143915499157
O,1272,Other_dec1,0.031101004914545587
G,866,Other_dec1,0.021174111836475218
L,268,Other_dec1,0.006552727450548913
A,255,Other_dec1,0.006234871268246168
S,13,Other_dec1,3.178561823027458e-4
C,10,Other_dec1,2.445047556174968e-4
F,3,Other_dec1,7.335142668524903e-5
I,2,Other_dec1,4.890095112349935e-5
R,1,Other_dec1,2.4450475561749676e-5
D,109,Other_dec2,0.7730496453900709
O,11,Other_dec2,0.07801418439716312
C,10,Other_dec2,0.07092198581560284
G,10,Other_dec2,0.07092198581560284
W,1,Other_dec2,0.0070921985815602835
a_tblcase,9203234,PARENT_TABLE,0.3779429665998572
b_tblproceeding,8426675,PARENT_TABLE,0.34605254501546434
B_TblProceeding,3317688,PARENT_TABLE,0.13624524215865283
A_Tblcase,2233091,PARENT_TABLE,0.091704833021462
