value,description,name,table
PEN,PENDER CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
PET,PETERSBURG FEDERAL CORRECTIONAL INSTITUTE         ,inmate,inputs/Lookup/tblInmateHousing.csv
PHI,PHILLIPS CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
PIE,PIEDMONT CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
POL,POLK CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
PON,INSTITUCION REGIONAL DEL SUR,inmate,inputs/Lookup/tblInmateHousing.csv
POR,PORTSMOUTH CITY JAIL                              ,inmate,inputs/Lookup/tblInmateHousing.csv
POW,POWHATAN CORRECTIONAL CENTER                      ,inmate,inputs/Lookup/tblInmateHousing.csv
PRI,ADMINISTRATION OF CORRECTIONS/PUERTO RICO         ,inmate,inputs/Lookup/tblInmateHousing.csv
PRY,PERRY CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
PUL,PULASKI                                           ,inmate,inputs/Lookup/tblInmateHousing.csv
PWC,PRINCE WILLIAM COUNTY ADC                         ,inmate,inputs/Lookup/tblInmateHousing.csv
PYO,POLK YOUTH INSTITUTION                            ,inmate,inputs/Lookup/tblInmateHousing.csv
QUO,PASQUOTANK C.I.,inmate,inputs/Lookup/tblInmateHousing.csv
RAN,RANDOLPH CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
RCC,ROCKINGHAM CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
RCW,RALEIGH CORRECTIONAL CENTER FOR WOMEN,inmate,inputs/Lookup/tblInmateHousing.csv
RDG,RIDGELAND CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
RID,RIDGELAND CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
RIO,STATE PENITENTIARY,inmate,inputs/Lookup/tblInmateHousing.csv
ROB,ROBESON CORRECTIONAL CENTER                       ,inmate,inputs/Lookup/tblInmateHousing.csv
ROC,C/O SCI ROCKVIEW                                  ,inmate,inputs/Lookup/tblInmateHousing.csv
ROG,ROGERS CORRECTIONAL INSTITUTION                   ,inmate,inputs/Lookup/tblInmateHousing.csv
RTD,RUTHERFORD CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
RUT,RUTLEDGE CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
SAB,SABANA HOYOS CAMP                                 ,inmate,inputs/Lookup/tblInmateHousing.csv
SAC,SANFORD CORRECTIONAL CENTER                       ,inmate,inputs/Lookup/tblInmateHousing.csv
SAL,ROWAN CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
SAM,SAMPSON CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
SAN,SANDHILLS YOUTH CENTER                            ,inmate,inputs/Lookup/tblInmateHousing.csv
SCC,SAMPSON CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
SCI,SUMTER COUNTY CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
SCT,SCOTT CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
SFD,SANFORD CORRECTIONAL CENTER                       ,inmate,inputs/Lookup/tblInmateHousing.csv
SHA,SCI COAL TOWNSHIP                                 ,inmate,inputs/Lookup/tblInmateHousing.csv
SMI,SMITH CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
SOC,SOUTH CAROLINA DEPT OF CORRECTIONS                ,inmate,inputs/Lookup/tblInmateHousing.csv
SOT,SOUTHERN CORRECTIONAL INST.                       ,inmate,inputs/Lookup/tblInmateHousing.csv
SOU,SOUTHERN CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
STA,STANLY COUNTY JAIL,inmate,inputs/Lookup/tblInmateHousing.csv
STB,ST. BRIDES CORRECTIONAL CENTER                    ,inmate,inputs/Lookup/tblInmateHousing.csv
STO,STOKES CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
SUM,SUMTER CITY CORRECTIONAL INSTITUTION              ,inmate,inputs/Lookup/tblInmateHousing.csv
SYL,FCI. SCHYKLILL                                    ,inmate,inputs/Lookup/tblInmateHousing.csv
TDG,"FCI, TALLADEGA",inmate,inputs/Lookup/tblInmateHousing.csv
TEL,TELFAIR CORRECTIONAL INSTITUTION                  ,inmate,inputs/Lookup/tblInmateHousing.csv
TER,TERRELL CO. CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
TIL,TILLERY CORRECTIONAL CENTER                       ,inmate,inputs/Lookup/tblInmateHousing.csv
TRI,TRIANGLE CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
TRO,TROUP COUNTY C.I.,inmate,inputs/Lookup/tblInmateHousing.csv
TUR,TURBEVILLE CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
